"Species","Rank","Factor_Score","Fishing_Mortality","OFL","OFL_Attain_Percent","Total_Below_OFL","ABC","ABC_Attain_Percent"
"cabezon",21,3,93.1398252753333,365.236666666667,0.255012253083389,272.096841391333,346.412166666667,0.268869959654034
"lingcod",37,2,1328.35756583167,5560.25333333333,0.2389023460259,4231.89576750167,5241.18918653333,0.253445834247834
"shortspine thornyhead",37,2,709.731272191,3089.33333333333,0.229736061347971,2379.60206114233,2573.41466666667,0.275793591053987
"olive rockfish",37,2,50.1362472766667,224.957734319,0.222869631170677,174.821487042333,187.614750431,0.26722977357319
"chilipepper",37,2,606.919355432333,2794.32,0.217197513324291,2187.40064456767,2671.36992,0.227194051594447
"bocaccio",37,2,485.522911298667,2387.57212833333,0.203354238197441,1902.04921703467,2247.8698491,0.21599244791377
"speckled rockfish",37,2,8.00161670466667,39.568280666,0.202223007165996,31.5666639613333,32.9999460743333,0.2424736297036
"greenspotted rockfish",37,2,17.939762001,93.7197,0.191419328070833,75.779937999,84.5150121,0.212267164794028
"grass rockfish",37,2,11.4293510263333,60.2834846676667,0.189593403389694,48.8541336413333,50.276426213,0.227330219890968
"kelp rockfish",37,2,4.41017514966667,27.6685190006667,0.159393249402341,23.258343851,23.0755448473333,0.191119004073107
"redstripe rockfish",37,2,42.221759281,270.402135989333,0.156144326029531,228.180376708333,225.515381417333,0.187223412503582
"rex sole",37,2,474.618164296,3191.59166666667,0.148708924532221,2716.97350237067,2658.59585833333,0.17852211828598
"Pacific ocean perch",37,2,434.868640088333,3456.48333333333,0.125812451023439,3021.614693245,3169.87328333333,0.137188020219862
"yellowmouth rockfish",37,2,24.128705737,193.263318651333,0.12484886374393,169.134612914333,161.181607742333,0.149698877402764
"leopard shark",37,2,19.867618009,167.1,0.11889657695392,147.232381991,139.3614,0.142561842870407
"kelp greenling",51,1,37.9594763853333,466.206666666667,0.0814219939340207,428.247190281333,426.3743,0.0890285281859937
"splitnose rockfish",51,1,202.790709282333,2846.99466666667,0.071229746812194,2644.20395738433,2721.72690133333,0.0745081033600356
"longspine thornyhead",51,1,277.570708213333,4117.33333333333,0.0674151655310881,3839.76262512,3429.73866666667,0.080930570865652
"cowcod",51,1,4.999794558,74.1666666666667,0.0674129603325843,69.1668721086667,66.6661,0.0749975558492247
"Dover sole",51,1,5714.55349029233,91144.2,0.0626979389834167,85429.6465097077,87133.8552,0.0655836181834903
"bank rockfish",51,1,32.598339951,520.435013993333,0.0626367155831248,487.836674042333,434.042801676667,0.0751039755182569
"sharpchin rockfish",51,1,25.3522885553333,441.333333333333,0.0574447625876133,415.981044778,402.937333333333,0.0629186884858853
"arrowtooth flounder",51,1,923.298174028,16833.3333333333,0.0548493964769109,15910.0351593053,14022.1666666667,0.0658456140179002
"rock sole",51,1,3.48923834366667,66.7,0.0523124189455272,63.2107616563333,46.2898,0.0753781252817396
"sand sole",51,1,31.0643404643333,773.2,0.0401763327267632,742.135659535667,536.6008,0.0578909693469211
"Pacific sanddab",51,1,142.179483083667,4801,0.0296145559432757,4658.82051691633,3331.894,0.0426722708116365
"greenstriped rockfish",51,1,44.9696012716667,1551.33333333333,0.0289877103169317,1506.36373206167,1416.36733333333,0.0317499565355221
"English sole",51,1,241.779776436333,10136,0.0238535691038214,9894.22022356367,9254.168,0.0261265817128383
"Pacific cod",51,1,54.1650912633333,3200,0.0169265910197917,3145.83490873667,2220.8,0.0243899006048871
"starry flounder",51,1,10.1870063993333,1050.06666666667,0.00970129490127611,1039.87966026733,728.746266666667,0.0139788110969396
